epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,248.458,1.19099,0.84944,0.995,0.47802,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769
2,495.1,0.47526,0.88,0.99722,0.31163,0.0193236,0.00644121,0.0193236,0.00644121,0.0193236,0.00644121,0.0193236,0.00644121
3,740.824,0.36571,0.87667,0.99778,0.36001,0.0280042,0.00933473,0.0280042,0.00933473,0.0280042,0.00933473,0.0280042,0.00933473
4,989.369,0.31949,0.88556,0.99722,0.40466,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,1241.82,0.28022,0.89722,0.99833,0.29789,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1489.03,0.25185,0.91,0.99722,0.26487,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1730.76,0.23383,0.90444,0.99833,0.27877,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1980.32,0.22067,0.90167,0.99667,0.28251,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,2233.66,0.21248,0.90389,0.99833,0.46567,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,2479.23,0.20153,0.905,0.99778,0.26718,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,2723.78,0.19149,0.90056,0.99778,0.28713,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,2968.6,0.18874,0.90778,0.99833,0.31718,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,3210.11,0.18409,0.90833,0.99833,0.26822,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,3457.61,0.17823,0.91556,0.99944,0.24938,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,3703.22,0.16715,0.92,0.99889,0.25798,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,3945.19,0.16087,0.91111,0.99889,0.26016,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,4183.99,0.15654,0.91611,0.99944,0.34168,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,4428.24,0.1486,0.91667,0.99889,0.24964,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,4680.93,0.14144,0.91778,0.99889,0.30434,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,4938.27,0.13746,0.91167,0.99778,0.29984,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,5190.86,0.12629,0.91667,0.99778,0.29281,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,5442.76,0.11648,0.91778,0.99944,0.25427,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,5693.1,0.11037,0.91389,0.99944,0.2581,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,5944.74,0.10167,0.91556,0.99944,0.26015,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,6194.08,0.09113,0.91778,0.99944,0.25906,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
