true_class,predicted_class,count,rate_in_true_class
truck,car,30,0.08152173913043478
car,truck,30,0.035842293906810034
car,boat,17,0.02031063321385902
taxi,car,17,0.18888888888888888
car,taxi,16,0.019115890083632018
truck,minibus,13,0.035326086956521736
car,minibus,12,0.014336917562724014
minibus,car,11,0.07482993197278912
minibus,truck,10,0.06802721088435375
bus,train,9,0.022556390977443608
motorcycle,bicycle,8,0.01834862385321101
boat,car,8,0.009205983889528193
bus,truck,6,0.015037593984962405
car,motorcycle,6,0.007168458781362007
bicycle,motorcycle,5,0.03184713375796178
truck,boat,5,0.01358695652173913
truck,bus,5,0.01358695652173913
taxi,minibus,4,0.044444444444444446
train,bus,4,0.024242424242424242
bus,minibus,4,0.010025062656641603
minibus,bus,3,0.02040816326530612
boat,motorcycle,3,0.0034522439585730723
motorcycle,car,3,0.006880733944954129
bus,car,3,0.007518796992481203
train,boat,2,0.012121212121212121
truck,taxi,2,0.005434782608695652
helicopter,boat,2,0.029850746268656716
motorcycle,boat,2,0.0045871559633027525
bicycle,boat,2,0.012738853503184714
car,train,2,0.0023894862604540022
bus,boat,2,0.005012531328320802
helicopter,motorcycle,2,0.029850746268656716
boat,truck,1,0.0011507479861910242
boat,helicopter,1,0.0011507479861910242
bicycle,helicopter,1,0.006369426751592357
boat,bicycle,1,0.0011507479861910242
helicopter,truck,1,0.014925373134328358
car,bicycle,1,0.0011947431302270011
truck,motorcycle,1,0.002717391304347826
truck,train,1,0.002717391304347826
