class,precision,recall,f1,support
bicycle,0.9363057324840764,0.9363057324840764,0.9363057324840764,157
boat,0.9584269662921349,0.9815880322209436,0.9698692438885731,869
bus,0.948051948051948,0.9147869674185464,0.9311224489795918,399
car,0.9100850546780073,0.8948626045400239,0.9024096385542169,837
helicopter,1.0,0.9104477611940298,0.953125,67
minibus,0.7848101265822784,0.8435374149659864,0.8131147540983606,147
motorcycle,0.9591836734693877,0.9701834862385321,0.9646522234891676,436
taxi,0.8611111111111112,0.6888888888888889,0.7654320987654321,90
train,0.9341317365269461,0.9454545454545454,0.9397590361445783,165
truck,0.8267716535433071,0.8559782608695652,0.8411214953271028,368
