epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,170.446,1.01542,0.85795,0.99377,0.43524,0.0099827,0.00332757,0.0099827,0.00332757,0.0099827,0.00332757,0.0099827,0.00332757
2,347.997,0.28564,0.91058,0.99774,0.28267,0.0193233,0.00644109,0.0193233,0.00644109,0.0193233,0.00644109,0.0193233,0.00644109
3,527.944,0.16053,0.90719,0.99717,0.28552,0.0280038,0.00933461,0.0280038,0.00933461,0.0280038,0.00933461,0.0280038,0.00933461
4,719.189,0.09878,0.90719,0.99887,0.32024,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,915.305,0.05704,0.91115,0.9983,0.33455,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1112.73,0.04426,0.90832,0.9983,0.3583,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1299.16,0.03814,0.90323,0.99774,0.37982,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1497.71,0.03357,0.91228,0.99717,0.37229,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1694.32,0.03286,0.9004,0.99774,0.36082,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1886.77,0.02915,0.90436,0.99717,0.40171,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,2079.93,0.02662,0.91115,0.99774,0.36558,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,2283.02,0.0261,0.91341,0.9983,0.35285,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,2486.14,0.02893,0.91228,0.99887,0.36377,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,2695.11,0.02154,0.91737,0.99717,0.37075,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,2909.88,0.01948,0.91398,0.99774,0.36346,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,3156.67,0.0185,0.91568,0.99887,0.36752,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,3385.87,0.01553,0.91568,0.99717,0.3658,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,3600.97,0.0132,0.91568,0.9983,0.36345,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,3814.92,0.0122,0.92077,0.99774,0.39757,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,4017.99,0.01071,0.91228,0.99774,0.39605,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,4222.77,0.00779,0.91907,0.99774,0.40798,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,4422.09,0.00594,0.92247,0.9983,0.41559,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,4627.79,0.004,0.92134,0.99887,0.42765,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,4836.93,0.00292,0.91851,0.9983,0.43666,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,5050.5,0.00235,0.9202,0.99887,0.4359,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,5258.93,0.00118,0.91737,0.9983,0.44669,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,5463.97,0.00102,0.91794,0.9983,0.45094,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,5668.83,0.00035,0.91964,0.99887,0.45729,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,5868.39,0.00016,0.91851,0.99887,0.46752,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,6077.11,4e-05,0.91794,0.99943,0.47057,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
