true_class,predicted_class,count,rate_in_true_class
car,truck,42,0.05017921146953405
truck,car,29,0.07880434782608696
taxi,car,20,0.2222222222222222
car,boat,16,0.019115890083632018
minibus,car,15,0.10204081632653061
car,taxi,14,0.016726403823178016
truck,minibus,11,0.029891304347826088
car,minibus,10,0.011947431302270013
bus,truck,10,0.02506265664160401
minibus,truck,10,0.06802721088435375
truck,bus,10,0.02717391304347826
bus,train,9,0.022556390977443608
car,motorcycle,7,0.008363201911589008
bus,minibus,7,0.017543859649122806
motorcycle,bicycle,7,0.016055045871559634
bicycle,motorcycle,6,0.03821656050955414
truck,boat,6,0.016304347826086956
helicopter,boat,5,0.07462686567164178
car,train,5,0.005973715651135006
motorcycle,car,4,0.009174311926605505
boat,car,4,0.004602991944764097
train,truck,3,0.01818181818181818
motorcycle,boat,3,0.006880733944954129
taxi,minibus,3,0.03333333333333333
boat,motorcycle,3,0.0034522439585730723
bus,boat,3,0.007518796992481203
boat,train,2,0.0023014959723820483
boat,bicycle,2,0.0023014959723820483
car,bus,2,0.0023894862604540022
train,bus,2,0.012121212121212121
train,boat,2,0.012121212121212121
bus,car,2,0.005012531328320802
truck,train,2,0.005434782608695652
taxi,truck,2,0.022222222222222223
minibus,bus,2,0.013605442176870748
boat,bus,1,0.0011507479861910242
bicycle,train,1,0.006369426751592357
bicycle,helicopter,1,0.006369426751592357
boat,minibus,1,0.0011507479861910242
bicycle,boat,1,0.006369426751592357
boat,taxi,1,0.0011507479861910242
boat,truck,1,0.0011507479861910242
minibus,boat,1,0.006802721088435374
helicopter,car,1,0.014925373134328358
helicopter,motorcycle,1,0.014925373134328358
taxi,motorcycle,1,0.011111111111111112
truck,helicopter,1,0.002717391304347826
truck,motorcycle,1,0.002717391304347826
