epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,226.505,0.44547,0.87606,0.99774,0.36876,6.66378e-05,6.66378e-05,0.0667477
2,449.137,0.29468,0.90379,0.99717,0.30292,0.000132943,0.000132943,0.0334807
3,665.722,0.23137,0.91681,0.99774,0.29135,0.000197808,0.000197808,0.000212238
4,882.377,0.20096,0.92077,0.99717,0.28891,0.000195155,0.000195155,0.000195155
5,1098.38,0.18952,0.93209,0.99717,0.28204,0.000191441,0.000191441,0.000191441
6,1314.57,0.18485,0.92926,0.99547,0.29483,0.000186737,0.000186737,0.000186737
7,1530.21,0.18152,0.92756,0.99717,0.28919,0.000181093,0.000181093,0.000181093
8,1745.67,0.17974,0.93039,0.9966,0.27952,0.000174571,0.000174571,0.000174571
9,1961.41,0.17669,0.93379,0.99377,0.28551,0.000167244,0.000167244,0.000167244
10,2177.63,0.17548,0.93379,0.99321,0.28991,0.000159191,0.000159191,0.000159191
11,2393.9,0.1747,0.93209,0.99377,0.29026,0.0001505,0.0001505,0.0001505
12,2609.97,0.17283,0.93096,0.99377,0.29405,0.000141267,0.000141267,0.000141267
13,2825.62,0.1717,0.93265,0.99491,0.29751,0.000131593,0.000131593,0.000131593
14,3041.21,0.17087,0.93379,0.99377,0.29292,0.000121583,0.000121583,0.000121583
15,3256.81,0.17019,0.93379,0.99208,0.29475,0.000111348,0.000111348,0.000111348
16,3472.38,0.16983,0.93322,0.99264,0.29631,0.000101,0.000101,0.000101
17,3687.31,0.16917,0.93548,0.99264,0.29922,9.06517e-05,9.06517e-05,9.06517e-05
