class,precision,recall,f1,support
bicycle,0.9245283018867925,0.9074074074074074,0.9158878504672897,162
boat,0.9525959367945824,0.9483146067415731,0.9504504504504504,890
bus,0.9390862944162437,0.9113300492610837,0.925,406
car,0.8577777777777778,0.9039812646370023,0.8802736602052451,854
helicopter,0.8955223880597015,0.8955223880597015,0.8955223880597015,67
minibus,0.8461538461538461,0.7432432432432432,0.7913669064748201,148
motorcycle,0.9617117117117117,0.9617117117117117,0.9617117117117117,444
taxi,0.7972972972972973,0.6483516483516484,0.7151515151515152,91
train,0.9117647058823529,0.9226190476190477,0.9171597633136095,168
truck,0.8116710875331565,0.8247978436657682,0.8181818181818182,371
