epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.031,1.02026,0.85889,0.99556,0.43404,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769
2,256.564,0.29114,0.89056,0.99889,0.27065,0.0193236,0.00644121,0.0193236,0.00644121,0.0193236,0.00644121,0.0193236,0.00644121
3,384.519,0.1659,0.83667,0.99667,0.46381,0.0280042,0.00933473,0.0280042,0.00933473,0.0280042,0.00933473,0.0280042,0.00933473
4,509.35,0.10182,0.89833,0.99944,0.36739,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,638.152,0.06061,0.90056,0.99833,0.37248,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,761.526,0.04619,0.90333,0.99667,0.3376,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,884.904,0.0396,0.89944,0.99722,0.3704,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1009.28,0.03664,0.89944,0.99611,0.37099,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1132.54,0.03446,0.90333,0.99833,0.62203,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1256.56,0.0313,0.90444,0.99778,0.34179,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,1383.48,0.02984,0.90722,0.99833,0.34871,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,1509.53,0.02835,0.905,0.99833,0.39761,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,1639.72,0.02531,0.90833,0.99722,0.34786,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,1774.6,0.02291,0.90833,0.99833,0.34899,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,1903.01,0.0219,0.90556,0.99722,0.47858,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,2031.47,0.01906,0.90444,0.99667,0.40874,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,2159.9,0.01674,0.90778,0.99722,0.54763,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,2288.72,0.0143,0.90944,0.99611,0.41763,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,2419.63,0.01399,0.90722,0.99667,0.4233,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,2551.26,0.01189,0.905,0.99778,0.52614,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,2684.55,0.0081,0.90889,0.99833,0.42679,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,2817.75,0.00638,0.90944,0.99833,0.42385,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,2950.34,0.0055,0.90778,0.99722,0.46713,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,3082.24,0.00318,0.91167,0.99722,0.4767,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,3215.19,0.00269,0.90944,0.99722,0.46286,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,3343.58,0.00182,0.91167,0.99722,0.46085,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,3473.73,0.00093,0.91167,0.99722,0.68825,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,3604.46,0.00038,0.91222,0.99722,0.47003,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,3737.91,0.00013,0.91278,0.99722,0.50717,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,3870.53,0.00012,0.91111,0.99722,0.49273,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
